_id,note,tight_contact,NO_ppm,O2_vol%,SO2_ppm,H2O_ppm,soot_supplier,soot_name,soot_surface_area,mass_soot,mass_catalyst,soot_to_catalyst_mass_ratio,total_mass_g,mass_silica_beads,ramp_rate_C_min,start_temp,gas_flow_ml_min,soot_oxidation_T_max,material_id,doi,has_NOx,has_soot,temperature,soot_oxidation_co_concentration_ppm,soot_oxidation_conversion,soot_oxidation_co2_concentration_%,no2_%_of_nox,NO2_ppm,soot_oxidation_co2_concentration_ppm,no_ppm,no2_ppm,nox_ppm,total_nox_conversion_%,soot_oxidation_co2_selectivity,soot_oxidation_cox_concentration_ppm,conversion_calculated_from,soot_oxidation_cox_concentration_%,n2_ppm
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,380.0943717468502,,,,13.519902187202835,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,399.4843605584472,,,,14.699089797581848,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,419.6429440093399,,,,17.12991894217271,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,439.7772048450649,,,,21.488022460716394,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,459.95038186505815,,,,27.85400534347688,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,480.15761054628587,,,,32.203052121541454,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,500.1653937831395,,,,32.63596431644251,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,519.6161891326556,,,,30.870805597065623,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,540.6868706523325,,,,28.12570755784993,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa5,,0.0,500.0,5.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.2,10,50.0,200,,6a7d9f997bffe6ebe23a3f1e,10.1016/j.apcata.2017.02.005,True,True,178.0429019040733,,,,,,115.4900841374273,,,,,,,,,
